,unnamed,score,Close1,Close2,Close3,Close4,Close5,Close6,Close7,Close8,Close9,Close10,High1,High2,High3,High4,High5,High6,High7,High8,High9,High10,Low1,Low2,Low3,Low4,Low5,Low6,Low7,Low8,Low9,Low10,Open1,Open2,Open3,Open4,Open5,Open6,Open7,Open8,Open9,Open10
72,,3,0.0,0.0,0.053333476259131984,0.053333476259131984,0.24000064316609304,0.21333390503652616,0.053333476259131984,1.0,0.8133349769800144,0.7200008575547905,0.05882377185981191,0.0,0.014705558706262778,0.04411688336085717,0.30882349778411644,0.22058788682887887,0.1911757505740468,0.999998950667834,1.0,0.9264704338608709,0.03571386033290658,0.017856992286176876,0.035713735741015995,0.035713735741015995,0.12499967821412028,0.17857103384861617,0.0,0.44642786308084936,0.8035718744168054,1.0,0.0810809144675968,0.0,0.027026533136710995,0.06756750547030599,0.13513528906830174,0.27027002032519043,0.25675596036107073,0.2972964441017325,1.0000000000000018,0.7702704460612928
73,,4,0.7857174385628056,0.5,0.6428587192813993,0.28571192107789756,0.5714293596407032,1.0,0.0,0.7857174385628056,0.8571467982035088,0.7857174385628056,0.7500012659915569,0.2499922215789212,0.0,0.1249933717744085,1.0,0.49999288119502694,0.8750051438890125,0.37499415492949595,0.3749972275533793,0.875000457403246,1.0,0.4285668434147851,0.6428585442677957,0.3571394466510185,0.7142843909749033,0.42856812633150554,0.0,0.28571320918562293,0.7857135234522303,0.7857117829253895,0.9999971326306536,0.9230734918286814,0.3846177249912728,0.6923019771596586,0.4615378019670544,0.5384592597037141,1.0,0.0,0.6923053298716155,0.9230751791619696
74,,4,0.5283016058768002,0.18867935764927957,0.3018872700094395,0.6792459853079986,1.0,0.9622635329289615,0.5283016058768002,0.5849063064833597,0.0,0.13207614589567918,0.27692316482645474,0.33846131198478524,0.1846145781456645,0.3846153990407739,1.0,0.8615372256404026,0.4461536731472737,0.35384654823007367,0.07692315845779518,0.0,0.2857139303760512,0.2244896526220561,0.20408103645518416,0.40816308454227546,1.0,0.999998689628395,0.4081625517722447,0.5918366799327881,0.0,0.061224973846856656,0.3787879595611017,0.5000001426221026,0.16666631655013475,0.3333333010337043,0.7727280174417999,1.0,0.6060609322781687,0.4393946281464416,0.24242437040545717,0.0
75,,2,0.49999841054381733,0.3333343929707908,1.0,0.6666656070292092,0.0,0.833332803514601,0.16666719648539186,0.0,0.16666719648539186,0.0,0.3333322736925126,0.5,1.0,1.0,0.5,0.8333354526149819,0.8333354526149819,0.16666454738501812,0.0,0.16666454738501812,0.2857131179479069,0.7142868820520931,0.8571448034201552,1.0,0.42857103931596896,0.571428960684031,0.42857103931596896,0.0,0.2857131179479069,0.2857131179479069,0.39999961853027344,0.8999996185302734,0.6999988555908203,1.0,0.6999988555908203,0.39999961853027344,1.0,0.0,0.39999961853027344,0.5
76,,2,0.0487809677870068,0.0,0.12195143550415288,0.17073141932779556,0.17073141932779556,0.41463429033610133,0.29268285483194845,0.5121952419467508,0.6341466774509055,1.0,0.0,0.02499925668007208,0.02499961339433554,0.09999875292791671,0.27499890939087734,0.27499962571240033,0.3749996353737419,0.4499994878024438,0.5500002083610678,1.0,0.0,0.03124910631969513,0.09374983243113633,0.1562493065621311,0.28124868207772025,0.3437498482135659,0.18749929352298977,0.46875005047431983,0.6250006052785686,1.0,0.0,0.24999920950688193,0.15624993296196976,0.2187493280020938,0.31249904587390986,0.4062496509776601,0.5624991427194956,0.5624992116794587,0.8437500088894225,1.0
77,,4,0.43478238142449044,0.6086942885469497,0.30434888668570537,0.3913039690408162,0.043476669971440174,0.13043349473878507,0.0,0.7391312681101958,0.8260863504653102,0.9999999999999964,0.5263167935474016,0.5789471210398922,0.5263182331483236,0.421054204371643,0.3684221745259535,0.0,1.4305018041227413e-06,0.6315807713912562,0.8421058642019332,1.0,0.43999905792137284,0.6399989068658591,0.4000006943893908,0.4800008611054878,0.2399987682030691,0.11999877139350446,0.0,0.19999957885006836,0.7199996726656295,1.0,0.3809516113548099,0.6666663907679791,0.6666681641977803,0.3333343122300043,0.5238100864563151,0.04761963154271953,0.14285752279525354,0.0,0.8571418440937499,1.0
78,,3,0.8260863607838651,0.9130431803919308,0.34782590823515847,1.0,0.7826086360783862,0.7826086360783862,0.043477724705475396,0.0,0.4347827278432277,0.6086949968622513,1.0,0.7187500196854035,0.40625004729789715,0.8437502957629892,0.937500369490488,0.5625001244231811,0.4999999219493656,0.0,0.281250158574224,0.5624997338699629,0.9999995131534334,0.923076651764525,0.5769229836575676,0.9615384354197971,1.0,0.7692307019335267,0.19230726729229985,0.0,0.30769236673777556,0.6538455850772991,0.9999996374463578,0.6111108474369669,0.4999999156551027,0.833333286859224,1.0,0.5277776772299578,0.5833331015379528,0.0,0.19444446300092189,0.5833329003136747
79,,3,1.0,0.7741920736353407,0.6451600613627839,0.7741920736353407,0.32258130060651524,0.8709679877274432,0.6451600613627839,0.35483993863721963,0.0,0.8387093496967424,1.0,0.7714294793369341,0.6571437525899313,0.7714294793369341,0.40000152489481167,0.5428583596065977,0.9428577320652067,0.3714293867013403,0.0,0.6571433403128886,0.9600015084684195,1.0,0.8399998941332143,0.8399994855270947,0.44000120417745237,0.28000351689123093,0.4400001280083501,0.4399996007444251,0.0,0.3200014768875121,0.6470583240207439,1.0,0.6176466797388862,0.6176463754413213,0.6176474927662134,0.05882363799792856,0.5588240799992761,0.4411762416043459,0.20588100047140756,0.0
80,,3,0.4499999216901145,0.10000015661976924,0.049999295211035744,0.249999608450576,0.0,0.6999995301406905,0.899999843380229,0.899999843380229,0.7500003915494222,1.0,0.45454579725507394,0.1818189410976636,0.0,0.09090927312590225,0.04545521879793846,0.4545453149503018,1.0,0.7727272934155334,0.8181824196899203,0.9090910131667602,0.5882356909258242,0.17647162444890085,0.11764713347568545,0.11764737592093155,0.058824485086365286,0.0,0.7647058448694324,0.8235293535187402,0.7058830650124257,1.0,0.64999997538213,0.5000005343336014,0.19999993148697826,0.2500000976455645,0.35000055110327466,0.0,0.7499995727963427,0.949999406191619,1.0,0.8499995919472649
81,,3,0.0,0.6571426391601562,1.0,0.8285713195800781,0.4857139587402344,0.3999998910086493,0.3142858232770642,0.4285714285714288,0.1999996730259488,0.3999998910086493,0.0,0.37499977648250216,1.0,0.7812502793968719,0.5937500931322912,0.15625005587937402,0.21874972060312725,0.31250011175874803,0.37499977648250216,0.21874972060312725,0.0,0.3714288984026233,1.0,0.7428572518484939,0.8571428571428577,0.6000001089913507,0.6571431841169089,0.6857147216796875,0.485714503696987,0.5714285714285721,0.0,0.3469388231740451,0.9591835304778646,1.0,0.8571427459272281,0.5714286270363864,0.5510203922753183,0.48979607724681706,0.7346937266155233,0.4285713729636136
